Year,hydro_apb1,hydro_apb2,hydro_apb3,hydro_apb4,hydro_apb5,gas_ocgt_apb1,gas_ocgt_apb2,gas_ocgt_apb3,gas_ocgt_apb4,gas_ocgt_apb5,gas_ccs_apb1,gas_ccs_apb2,gas_ccs_apb3,gas_ccs_apb4,gas_ccs_apb5,sumatera_import_2031,sumatera_import_2032,sumatera_import_2033,sumatera_import_2034,sumatera_import_2035,sumatera_import_2036,sumatera_import_2037,sumatera_import_2038,sumatera_import_2039,sumatera_import_2040,sumatera_import_2041,sumatera_import_2042,sumatera_import_2043,sumatera_import_2044,sumatera_import_2045,sumatera_import_2046,sumatera_import_2047,sumatera_import_2048,sumatera_import_2049,sumatera_import_2050,sumatera_import_2051,sumatera_import_2052,sumatera_import_2053,sumatera_import_2054,sumatera_import_2055,sumatera_import_2056,sumatera_import_2057,sumatera_import_2058,sumatera_import_2059,sumatera_import_2060,kalimantan_import_2040,kalimantan_import_2041,kalimantan_import_2042,kalimantan_import_2043,kalimantan_import_2044,kalimantan_import_2045,kalimantan_import_2046,kalimantan_import_2047,kalimantan_import_2048,kalimantan_import_2049,kalimantan_import_2050,kalimantan_import_2051,kalimantan_import_2052,kalimantan_import_2053,kalimantan_import_2054,kalimantan_import_2055,kalimantan_import_2056,kalimantan_import_2057,kalimantan_import_2058,kalimantan_import_2059,kalimantan_import_2060,lombok_import_2035,lombok_import_2036,lombok_import_2037,lombok_import_2038,lombok_import_2039,lombok_import_2040,lombok_import_2041,lombok_import_2042,lombok_import_2043,lombok_import_2044,lombok_import_2045,lombok_import_2046,lombok_import_2047,lombok_import_2048,lombok_import_2049,lombok_import_2050,lombok_import_2051,lombok_import_2052,lombok_import_2053,lombok_import_2054,lombok_import_2055,lombok_import_2056,lombok_import_2057,lombok_import_2058,lombok_import_2059,lombok_import_2060
2045,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2046,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2047,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16800,0,0,0,0,0,0,0,0,0,0,0,0,0
2048,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21600,0,0,0,0,0,0,0,0,0,0,0,0
2049,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26400,0,0,0,0,0,0,0,0,0,0,0
2050,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35900,0,0,0,0,0,0,0,0,0,0
2051,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36400,0,0,0,0,0,0,0,0,0
2052,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36900,0,0,0,0,0,0,0,0
2053,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37400,0,0,0,0,0,0,0
2054,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37400,0,0,0,0,0,0
2055,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37400,0,0,0,0,0
2056,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39200,0,0,0,0
2057,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39600,0,0,0
2058,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39600,0,0
2059,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39600,0
2060,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39600
