Year-month,hydro_apb2,hydro_apb4,micro_hydro_apb1,micro_hydro_apb2,micro_hydro_apb3,micro_hydro_apb4,micro_hydro_apb5
203006,0.3,0.23,0.5214,0.5214,0.5214,0.5214,0.5214
203007,0.26,0.19,0.3868,0.3868,0.3868,0.3868,0.3868
203008,0.24,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
203009,0.23,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
203010,0.25,0.21,0.7736,0.7736,0.7736,0.7736,0.7736
203011,0.31,0.24,0.7736,0.7736,0.7736,0.7736,0.7736
203012,0.39,0.31,0.7736,0.7736,0.7736,0.7736,0.7736
203101,0.45,0.26,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
203102,0.45,0.29,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
203103,0.55,0.38,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
203104,0.55,0.36,0.5214,0.5214,0.5214,0.5214,0.5214
203105,0.38,0.28,0.5214,0.5214,0.5214,0.5214,0.5214
203106,0.3,0.23,0.5214,0.5214,0.5214,0.5214,0.5214
203107,0.26,0.19,0.3868,0.3868,0.3868,0.3868,0.3868
203108,0.24,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
203109,0.23,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
203110,0.25,0.21,0.7736,0.7736,0.7736,0.7736,0.7736
203111,0.31,0.24,0.7736,0.7736,0.7736,0.7736,0.7736
203112,0.39,0.31,0.7736,0.7736,0.7736,0.7736,0.7736
203201,0.45,0.26,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
203202,0.45,0.29,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
203203,0.55,0.38,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
203204,0.55,0.36,0.5214,0.5214,0.5214,0.5214,0.5214
203205,0.38,0.28,0.5214,0.5214,0.5214,0.5214,0.5214
203206,0.3,0.23,0.5214,0.5214,0.5214,0.5214,0.5214
203207,0.26,0.19,0.3868,0.3868,0.3868,0.3868,0.3868
203208,0.24,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
203209,0.23,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
203210,0.25,0.21,0.7736,0.7736,0.7736,0.7736,0.7736
203211,0.31,0.24,0.7736,0.7736,0.7736,0.7736,0.7736
