Year,Month,Day,Interval,pv_apb1,pv_apb2,pv_apb3,pv_apb4,pv_apb5,pv_floating_apb1,pv_rooftop_apb1,pv_floating_apb2,pv_rooftop_apb2,pv_floating_apb3,pv_rooftop_apb3,pv_floating_apb4,pv_rooftop_apb4,pv_floating_apb5,pv_rooftop_apb5
2059,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2059,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2059,1,1,3,0.149558,0.08325533333333333,0.08351633333333335,0.08896766666666667,0.11961899999999999,0.149558,0.149558,0.08325533333333333,0.08325533333333333,0.08351633333333335,0.08351633333333335,0.08896766666666667,0.08896766666666667,0.11961899999999999,0.11961899999999999
2059,1,1,4,0.41462766666666667,0.39604533333333336,0.3712793333333333,0.349785,0.40733400000000003,0.41462766666666667,0.41462766666666667,0.39604533333333336,0.39604533333333336,0.3712793333333333,0.3712793333333333,0.349785,0.349785,0.40733400000000003,0.40733400000000003
2059,1,1,5,0.423802,0.44744999999999996,0.41554833333333335,0.385785,0.4388993333333333,0.423802,0.423802,0.44744999999999996,0.44744999999999996,0.41554833333333335,0.41554833333333335,0.385785,0.385785,0.4388993333333333,0.4388993333333333
2059,1,1,6,0.13901133333333335,0.20223933333333333,0.18058066666666664,0.16272066666666665,0.18604933333333332,0.13901133333333335,0.13901133333333335,0.20223933333333333,0.20223933333333333,0.18058066666666664,0.18058066666666664,0.16272066666666665,0.16272066666666665,0.18604933333333332,0.18604933333333332
2059,1,1,7,0.0,0.004419666666666666,0.002301,0.00057,0.0006309999999999999,0.0,0.0,0.004419666666666666,0.004419666666666666,0.002301,0.002301,0.00057,0.00057,0.0006309999999999999,0.0006309999999999999
2059,1,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2059,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2059,1,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2059,1,2,3,0.149558,0.08325533333333333,0.08351633333333335,0.08896766666666667,0.11961899999999999,0.149558,0.149558,0.08325533333333333,0.08325533333333333,0.08351633333333335,0.08351633333333335,0.08896766666666667,0.08896766666666667,0.11961899999999999,0.11961899999999999
2059,1,2,4,0.41462766666666667,0.39604533333333336,0.3712793333333333,0.349785,0.40733400000000003,0.41462766666666667,0.41462766666666667,0.39604533333333336,0.39604533333333336,0.3712793333333333,0.3712793333333333,0.349785,0.349785,0.40733400000000003,0.40733400000000003
2059,1,2,5,0.423802,0.44744999999999996,0.41554833333333335,0.385785,0.4388993333333333,0.423802,0.423802,0.44744999999999996,0.44744999999999996,0.41554833333333335,0.41554833333333335,0.385785,0.385785,0.4388993333333333,0.4388993333333333
2059,1,2,6,0.13901133333333335,0.20223933333333333,0.18058066666666664,0.16272066666666665,0.18604933333333332,0.13901133333333335,0.13901133333333335,0.20223933333333333,0.20223933333333333,0.18058066666666664,0.18058066666666664,0.16272066666666665,0.16272066666666665,0.18604933333333332,0.18604933333333332
2059,1,2,7,0.0,0.004419666666666666,0.002301,0.00057,0.0006309999999999999,0.0,0.0,0.004419666666666666,0.004419666666666666,0.002301,0.002301,0.00057,0.00057,0.0006309999999999999,0.0006309999999999999
2059,1,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2059,1,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2059,1,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2059,1,3,3,0.149558,0.08325533333333333,0.08351633333333335,0.08896766666666667,0.11961899999999999,0.149558,0.149558,0.08325533333333333,0.08325533333333333,0.08351633333333335,0.08351633333333335,0.08896766666666667,0.08896766666666667,0.11961899999999999,0.11961899999999999
2059,1,3,4,0.41462766666666667,0.39604533333333336,0.3712793333333333,0.349785,0.40733400000000003,0.41462766666666667,0.41462766666666667,0.39604533333333336,0.39604533333333336,0.3712793333333333,0.3712793333333333,0.349785,0.349785,0.40733400000000003,0.40733400000000003
2059,1,3,5,0.423802,0.44744999999999996,0.41554833333333335,0.385785,0.4388993333333333,0.423802,0.423802,0.44744999999999996,0.44744999999999996,0.41554833333333335,0.41554833333333335,0.385785,0.385785,0.4388993333333333,0.4388993333333333
2059,1,3,6,0.13901133333333335,0.20223933333333333,0.18058066666666664,0.16272066666666665,0.18604933333333332,0.13901133333333335,0.13901133333333335,0.20223933333333333,0.20223933333333333,0.18058066666666664,0.18058066666666664,0.16272066666666665,0.16272066666666665,0.18604933333333332,0.18604933333333332
2059,1,3,7,0.0,0.004419666666666666,0.002301,0.00057,0.0006309999999999999,0.0,0.0,0.004419666666666666,0.004419666666666666,0.002301,0.002301,0.00057,0.00057,0.0006309999999999999,0.0006309999999999999
2059,1,3,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2059,1,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2059,1,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2059,1,4,3,0.149558,0.08325533333333333,0.08351633333333335,0.08896766666666667,0.11961899999999999,0.149558,0.149558,0.08325533333333333,0.08325533333333333,0.08351633333333335,0.08351633333333335,0.08896766666666667,0.08896766666666667,0.11961899999999999,0.11961899999999999
2059,1,4,4,0.41462766666666667,0.39604533333333336,0.3712793333333333,0.349785,0.40733400000000003,0.41462766666666667,0.41462766666666667,0.39604533333333336,0.39604533333333336,0.3712793333333333,0.3712793333333333,0.349785,0.349785,0.40733400000000003,0.40733400000000003
2059,1,4,5,0.423802,0.44744999999999996,0.41554833333333335,0.385785,0.4388993333333333,0.423802,0.423802,0.44744999999999996,0.44744999999999996,0.41554833333333335,0.41554833333333335,0.385785,0.385785,0.4388993333333333,0.4388993333333333
2059,1,4,6,0.13901133333333335,0.20223933333333333,0.18058066666666664,0.16272066666666665,0.18604933333333332,0.13901133333333335,0.13901133333333335,0.20223933333333333,0.20223933333333333,0.18058066666666664,0.18058066666666664,0.16272066666666665,0.16272066666666665,0.18604933333333332,0.18604933333333332
2059,1,4,7,0.0,0.004419666666666666,0.002301,0.00057,0.0006309999999999999,0.0,0.0,0.004419666666666666,0.004419666666666666,0.002301,0.002301,0.00057,0.00057,0.0006309999999999999,0.0006309999999999999
2059,1,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2059,1,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2059,1,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2059,1,5,3,0.149558,0.08325533333333333,0.08351633333333335,0.08896766666666667,0.11961899999999999,0.149558,0.149558,0.08325533333333333,0.08325533333333333,0.08351633333333335,0.08351633333333335,0.08896766666666667,0.08896766666666667,0.11961899999999999,0.11961899999999999
2059,1,5,4,0.41462766666666667,0.39604533333333336,0.3712793333333333,0.349785,0.40733400000000003,0.41462766666666667,0.41462766666666667,0.39604533333333336,0.39604533333333336,0.3712793333333333,0.3712793333333333,0.349785,0.349785,0.40733400000000003,0.40733400000000003
2059,1,5,5,0.423802,0.44744999999999996,0.41554833333333335,0.385785,0.4388993333333333,0.423802,0.423802,0.44744999999999996,0.44744999999999996,0.41554833333333335,0.41554833333333335,0.385785,0.385785,0.4388993333333333,0.4388993333333333
2059,1,5,6,0.13901133333333335,0.20223933333333333,0.18058066666666664,0.16272066666666665,0.18604933333333332,0.13901133333333335,0.13901133333333335,0.20223933333333333,0.20223933333333333,0.18058066666666664,0.18058066666666664,0.16272066666666665,0.16272066666666665,0.18604933333333332,0.18604933333333332
2059,1,5,7,0.0,0.004419666666666666,0.002301,0.00057,0.0006309999999999999,0.0,0.0,0.004419666666666666,0.004419666666666666,0.002301,0.002301,0.00057,0.00057,0.0006309999999999999,0.0006309999999999999
2059,1,5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2059,1,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2059,1,6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2059,1,6,3,0.149558,0.08325533333333333,0.08351633333333335,0.08896766666666667,0.11961899999999999,0.149558,0.149558,0.08325533333333333,0.08325533333333333,0.08351633333333335,0.08351633333333335,0.08896766666666667,0.08896766666666667,0.11961899999999999,0.11961899999999999
2059,1,6,4,0.41462766666666667,0.39604533333333336,0.3712793333333333,0.349785,0.40733400000000003,0.41462766666666667,0.41462766666666667,0.39604533333333336,0.39604533333333336,0.3712793333333333,0.3712793333333333,0.349785,0.349785,0.40733400000000003,0.40733400000000003
2059,1,6,5,0.423802,0.44744999999999996,0.41554833333333335,0.385785,0.4388993333333333,0.423802,0.423802,0.44744999999999996,0.44744999999999996,0.41554833333333335,0.41554833333333335,0.385785,0.385785,0.4388993333333333,0.4388993333333333
2059,1,6,6,0.13901133333333335,0.20223933333333333,0.18058066666666664,0.16272066666666665,0.18604933333333332,0.13901133333333335,0.13901133333333335,0.20223933333333333,0.20223933333333333,0.18058066666666664,0.18058066666666664,0.16272066666666665,0.16272066666666665,0.18604933333333332,0.18604933333333332
2059,1,6,7,0.0,0.004419666666666666,0.002301,0.00057,0.0006309999999999999,0.0,0.0,0.004419666666666666,0.004419666666666666,0.002301,0.002301,0.00057,0.00057,0.0006309999999999999,0.0006309999999999999
2059,1,6,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2059,1,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2059,1,7,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
